paperId,author,paperName,majorId
426,"Mai Thanh Thi Nguyen, Hai Xuan Nguyen, Truong Nhat Van Do, Tho Huu Le, Phu Hoang Dang, Suresh Awale, Takao Kataoka and Nhan Trung Nguyen",Constituents of the rhizomes of Boesenbergia pandurata and their antiausterity activity against the PANC-1 human pancreatic cancer line and inhibitory tumor necrosis factor α (TNF-α),0
433,"Phuc Thinh Nguyen, Minh Chau Hang, Tan Dat Le and Anh Mai Nguyen",NON-DESTRUCTIVE DETERMINATION OF ETHANOL LEVELS IN ALCOHOLIC BEVERAGES USING PARTIAL LEAST SQUARES - NEAR INFRARED SPECTROSCOPY,0
439,Loc Le Nguyen,STUDY ON CHEMICAL CONSTITUENTS OF THE ETHYL ACETATE EXTRACT OF ELEPHANTOPUS MOLLIS,0
443,Anh-Mai Nguyen and Hue Nguyen,"ĐỊNH LƯỢNG MỘT SỐ DƯỢC CHẤT NHÓM KÍ SINH TRÙNG PYRANTEL, PRAZIQUANTEL, FEBANTEL TRONG THUỐC THÚ Y DẠNG VIÊN NÉN BẰNG HPLC-DAD",0
445,"Phuc Thinh Nguyen, Minh Hoa Vo, Si Thong Nguyen, Thi Cam Van Nguyen and Anh Mai Nguyen",XÁC ĐỊNH HÀM LƯỢNG CHẤT KHÔ CỦA BƠ 034 BẰNG PHỔ HỒNG NGOẠI GẦN KẾT HỢP PHƯƠNG PHÁP BÌNH PHƯƠNG TỐI THIỂU TỪNG PHẦN,0
451,"Anh-Mai Nguyen, Diem-My Huynh-Lam and Huy-Du Nguyen",PHÂN TÍCH ĐỒNG PHÂN VỊ TRÍ α-ALANIN VÀ β-ALANIN BẰNG CỘT ZIC-HILIC,0
453,"Anh-Mai Nguyen, Thu-Liễu Thiều-Thị and Diệu-Ly Hà",THIẾT LẬP CHẤT ĐỐI CHIẾU QUERCITRIN VÀ HYPEROSIDE TỪ CÂY DIẾP CÁ HOUTTUYNIA CORDATA THUMB,0
454,Anh-Mai Nguyen and Quốc-Phương Vương,TỐI ƯU PHƯƠNG PHÁP XỬ LÝ MẪU THỰC PHẨM CHỨA HÀM LƯỢNG BÉO CAO TRONG PHÂN TÍCH THUỐC BẢO VỆ THỰC VẬT,0
456,"Anh-Mai Nguyen, Từ-Hòa Nguyễn, Diễm-My Huỳnh Lâm and Mạnh Nguyễn-Khắc",XÂY DỰNG QUY TRÌNH XÁC ĐỊNH MỘT SỐ CARBOHYDRATE BẰNG PHƯƠNG PHÁP TẠO DẪN XUẤT VỚI ANHYDRIDE ACETIC PHÂN TÍCH BẰNG GC-FID,0
457,"Thị Yến Nhi Trần, Đoàn Thiện Chí Nguyễn, Thị Kim Vui Trần, Ánh Mai Nguyễn, Thị Hiền Tô and Thị Tuyết Ngân Nguyễn",TỐI ƯU QUY TRÌNH PHÂN TÍCH PFOS VÀ PFOA BẰNG PHƯƠNG PHÁP UPLC-MS/MS VÀ ỨNG DỤNG VÀO PHÂN TÍCH PFOA VÀ PFOS TRONG NƯỚC UỐNG.,0
458,Khanh-Hung Nguyen and Huy Du Nguyen,LIQUID CHROMATOGRAPHIC DETERMINATION OF BIOGENIC AMINES IN SOME VIETNAM FISH SAUCE ON DANSYL CHLORIDE DERIVATIVES,0
465,Le Thi Hoa and Nguyen Huy Du,XÁC ĐỊNH HỢP CHẤT ANTIOXIDANTS TRONG NHỰA BẰNG PHƯƠNG PHÁP HPLC-UV,0
466,"Ngoc Tram Duong Thi, Phu Dang and Trung Nhan Nguyen","KHẢO SÁT THÀNH PHẦN 0 CỦA CÂY AN XOA (HELICTERES HIRSUTA LOUR), HỌ CẨM QUỲ (MALVACEAE)",0
469,Lien Hoa Nguyen Dieu and Chi Ngoc Nguyen,XANTHONES FROM THE BARK OF CRATOXYLUM COCHINCHINENSE,0
